Region,Category,Kernel,Channel,Info_1,Info_2,Info_3
Cells,AreaShape,Area,,,,
Cells,AreaShape,BoundingBoxArea,,,,
Cells,AreaShape,BoundingBoxMaximum,X,,,
Cells,AreaShape,BoundingBoxMaximum,Y,,,
Cells,AreaShape,BoundingBoxMinimum,X,,,
Cells,AreaShape,BoundingBoxMinimum,Y,,,
Cells,AreaShape,Center,X,,,
Cells,AreaShape,Center,Y,,,
Cells,AreaShape,Compactness,,,,
Cells,AreaShape,Eccentricity,,,,
Cells,AreaShape,EquivalentDiameter,,,,
Cells,AreaShape,EulerNumber,,,,
Cells,AreaShape,Extent,,,,
Cells,AreaShape,FormFactor,,,,
Cells,AreaShape,MajorAxisLength,,,,
Cells,AreaShape,MaxFeretDiameter,,,,
Cells,AreaShape,MaximumRadius,,,,
Cells,AreaShape,MeanRadius,,,,
Cells,AreaShape,MedianRadius,,,,
Cells,AreaShape,MinFeretDiameter,,,,
Cells,AreaShape,MinorAxisLength,,,,
Cells,AreaShape,Orientation,,,,
Cells,AreaShape,Perimeter,,,,
Cells,AreaShape,Solidity,,,,
Cells,AreaShape,Zernike,0,0,,
Cells,AreaShape,Zernike,1,1,,
Cells,AreaShape,Zernike,2,0,,
Cells,AreaShape,Zernike,2,2,,
Cells,AreaShape,Zernike,3,1,,
Cells,AreaShape,Zernike,3,3,,
Cells,AreaShape,Zernike,4,0,,
Cells,AreaShape,Zernike,4,2,,
Cells,AreaShape,Zernike,4,4,,
Cells,AreaShape,Zernike,5,1,,
Cells,AreaShape,Zernike,5,3,,
Cells,AreaShape,Zernike,5,5,,
Cells,AreaShape,Zernike,6,0,,
Cells,AreaShape,Zernike,6,2,,
Cells,AreaShape,Zernike,6,4,,
Cells,AreaShape,Zernike,6,6,,
Cells,AreaShape,Zernike,7,1,,
Cells,AreaShape,Zernike,7,3,,
Cells,AreaShape,Zernike,7,5,,
Cells,AreaShape,Zernike,7,7,,
Cells,AreaShape,Zernike,8,0,,
Cells,AreaShape,Zernike,8,2,,
Cells,AreaShape,Zernike,8,4,,
Cells,AreaShape,Zernike,8,6,,
Cells,AreaShape,Zernike,8,8,,
Cells,AreaShape,Zernike,9,1,,
Cells,AreaShape,Zernike,9,3,,
Cells,AreaShape,Zernike,9,5,,
Cells,AreaShape,Zernike,9,7,,
Cells,AreaShape,Zernike,9,9,,
Cells,Children,Cytoplasm,Count,,,
Cells,Correlation,Correlation,AGP,DNA,,
Cells,Correlation,Correlation,AGP,ER,,
Cells,Correlation,Correlation,AGP,Mito,,
Cells,Correlation,Correlation,AGP,RNA,,
Cells,Correlation,Correlation,DNA,ER,,
Cells,Correlation,Correlation,DNA,Mito,,
Cells,Correlation,Correlation,DNA,RNA,,
Cells,Correlation,Correlation,ER,Mito,,
Cells,Correlation,Correlation,ER,RNA,,
Cells,Correlation,Correlation,Mito,RNA,,
Cells,Correlation,K,AGP,DNA,,
Cells,Correlation,K,AGP,ER,,
Cells,Correlation,K,AGP,Mito,,
Cells,Correlation,K,AGP,RNA,,
Cells,Correlation,K,DNA,AGP,,
Cells,Correlation,K,DNA,ER,,
Cells,Correlation,K,DNA,Mito,,
Cells,Correlation,K,DNA,RNA,,
Cells,Correlation,K,ER,AGP,,
Cells,Correlation,K,ER,DNA,,
Cells,Correlation,K,ER,Mito,,
Cells,Correlation,K,ER,RNA,,
Cells,Correlation,K,Mito,AGP,,
Cells,Correlation,K,Mito,DNA,,
Cells,Correlation,K,Mito,ER,,
Cells,Correlation,K,Mito,RNA,,
Cells,Correlation,K,RNA,AGP,,
Cells,Correlation,K,RNA,DNA,,
Cells,Correlation,K,RNA,ER,,
Cells,Correlation,K,RNA,Mito,,
Cells,Correlation,Manders,AGP,DNA,,
Cells,Correlation,Manders,AGP,ER,,
Cells,Correlation,Manders,AGP,Mito,,
Cells,Correlation,Manders,AGP,RNA,,
Cells,Correlation,Manders,DNA,AGP,,
Cells,Correlation,Manders,DNA,ER,,
Cells,Correlation,Manders,DNA,Mito,,
Cells,Correlation,Manders,DNA,RNA,,
Cells,Correlation,Manders,ER,AGP,,
Cells,Correlation,Manders,ER,DNA,,
Cells,Correlation,Manders,ER,Mito,,
Cells,Correlation,Manders,ER,RNA,,
Cells,Correlation,Manders,Mito,AGP,,
Cells,Correlation,Manders,Mito,DNA,,
Cells,Correlation,Manders,Mito,ER,,
Cells,Correlation,Manders,Mito,RNA,,
Cells,Correlation,Manders,RNA,AGP,,
Cells,Correlation,Manders,RNA,DNA,,
Cells,Correlation,Manders,RNA,ER,,
Cells,Correlation,Manders,RNA,Mito,,
Cells,Correlation,Overlap,AGP,DNA,,
Cells,Correlation,Overlap,AGP,ER,,
Cells,Correlation,Overlap,AGP,Mito,,
Cells,Correlation,Overlap,AGP,RNA,,
Cells,Correlation,Overlap,DNA,ER,,
Cells,Correlation,Overlap,DNA,Mito,,
Cells,Correlation,Overlap,DNA,RNA,,
Cells,Correlation,Overlap,ER,Mito,,
Cells,Correlation,Overlap,ER,RNA,,
Cells,Correlation,Overlap,Mito,RNA,,
Cells,Correlation,RWC,AGP,DNA,,
Cells,Correlation,RWC,AGP,ER,,
Cells,Correlation,RWC,AGP,Mito,,
Cells,Correlation,RWC,AGP,RNA,,
Cells,Correlation,RWC,DNA,AGP,,
Cells,Correlation,RWC,DNA,ER,,
Cells,Correlation,RWC,DNA,Mito,,
Cells,Correlation,RWC,DNA,RNA,,
Cells,Correlation,RWC,ER,AGP,,
Cells,Correlation,RWC,ER,DNA,,
Cells,Correlation,RWC,ER,Mito,,
Cells,Correlation,RWC,ER,RNA,,
Cells,Correlation,RWC,Mito,AGP,,
Cells,Correlation,RWC,Mito,DNA,,
Cells,Correlation,RWC,Mito,ER,,
Cells,Correlation,RWC,Mito,RNA,,
Cells,Correlation,RWC,RNA,AGP,,
Cells,Correlation,RWC,RNA,DNA,,
Cells,Correlation,RWC,RNA,ER,,
Cells,Correlation,RWC,RNA,Mito,,
Cells,Granularity,10,AGP,,,
Cells,Granularity,10,DNA,,,
Cells,Granularity,10,ER,,,
Cells,Granularity,10,Mito,,,
Cells,Granularity,10,RNA,,,
Cells,Granularity,11,AGP,,,
Cells,Granularity,11,DNA,,,
Cells,Granularity,11,ER,,,
Cells,Granularity,11,Mito,,,
Cells,Granularity,11,RNA,,,
Cells,Granularity,12,AGP,,,
Cells,Granularity,12,DNA,,,
Cells,Granularity,12,ER,,,
Cells,Granularity,12,Mito,,,
Cells,Granularity,12,RNA,,,
Cells,Granularity,13,AGP,,,
Cells,Granularity,13,DNA,,,
Cells,Granularity,13,ER,,,
Cells,Granularity,13,Mito,,,
Cells,Granularity,13,RNA,,,
Cells,Granularity,14,AGP,,,
Cells,Granularity,14,DNA,,,
Cells,Granularity,14,ER,,,
Cells,Granularity,14,Mito,,,
Cells,Granularity,14,RNA,,,
Cells,Granularity,15,AGP,,,
Cells,Granularity,15,DNA,,,
Cells,Granularity,15,ER,,,
Cells,Granularity,15,Mito,,,
Cells,Granularity,15,RNA,,,
Cells,Granularity,16,AGP,,,
Cells,Granularity,16,DNA,,,
Cells,Granularity,16,ER,,,
Cells,Granularity,16,Mito,,,
Cells,Granularity,16,RNA,,,
Cells,Granularity,1,AGP,,,
Cells,Granularity,1,DNA,,,
Cells,Granularity,1,ER,,,
Cells,Granularity,1,Mito,,,
Cells,Granularity,1,RNA,,,
Cells,Granularity,2,AGP,,,
Cells,Granularity,2,DNA,,,
Cells,Granularity,2,ER,,,
Cells,Granularity,2,Mito,,,
Cells,Granularity,2,RNA,,,
Cells,Granularity,3,AGP,,,
Cells,Granularity,3,DNA,,,
Cells,Granularity,3,ER,,,
Cells,Granularity,3,Mito,,,
Cells,Granularity,3,RNA,,,
Cells,Granularity,4,AGP,,,
Cells,Granularity,4,DNA,,,
Cells,Granularity,4,ER,,,
Cells,Granularity,4,Mito,,,
Cells,Granularity,4,RNA,,,
Cells,Granularity,5,AGP,,,
Cells,Granularity,5,DNA,,,
Cells,Granularity,5,ER,,,
Cells,Granularity,5,Mito,,,
Cells,Granularity,5,RNA,,,
Cells,Granularity,6,AGP,,,
Cells,Granularity,6,DNA,,,
Cells,Granularity,6,ER,,,
Cells,Granularity,6,Mito,,,
Cells,Granularity,6,RNA,,,
Cells,Granularity,7,AGP,,,
Cells,Granularity,7,DNA,,,
Cells,Granularity,7,ER,,,
Cells,Granularity,7,Mito,,,
Cells,Granularity,7,RNA,,,
Cells,Granularity,8,AGP,,,
Cells,Granularity,8,DNA,,,
Cells,Granularity,8,ER,,,
Cells,Granularity,8,Mito,,,
Cells,Granularity,8,RNA,,,
Cells,Granularity,9,AGP,,,
Cells,Granularity,9,DNA,,,
Cells,Granularity,9,ER,,,
Cells,Granularity,9,Mito,,,
Cells,Granularity,9,RNA,,,
Cells,Intensity,IntegratedIntensityEdge,AGP,,,
Cells,Intensity,IntegratedIntensityEdge,DNA,,,
Cells,Intensity,IntegratedIntensityEdge,ER,,,
Cells,Intensity,IntegratedIntensityEdge,Mito,,,
Cells,Intensity,IntegratedIntensityEdge,RNA,,,
Cells,Intensity,IntegratedIntensity,AGP,,,
Cells,Intensity,IntegratedIntensity,DNA,,,
Cells,Intensity,IntegratedIntensity,ER,,,
Cells,Intensity,IntegratedIntensity,Mito,,,
Cells,Intensity,IntegratedIntensity,RNA,,,
Cells,Intensity,LowerQuartileIntensity,AGP,,,
Cells,Intensity,LowerQuartileIntensity,DNA,,,
Cells,Intensity,LowerQuartileIntensity,ER,,,
Cells,Intensity,LowerQuartileIntensity,Mito,,,
Cells,Intensity,LowerQuartileIntensity,RNA,,,
Cells,Intensity,MADIntensity,AGP,,,
Cells,Intensity,MADIntensity,DNA,,,
Cells,Intensity,MADIntensity,ER,,,
Cells,Intensity,MADIntensity,Mito,,,
Cells,Intensity,MADIntensity,RNA,,,
Cells,Intensity,MassDisplacement,AGP,,,
Cells,Intensity,MassDisplacement,DNA,,,
Cells,Intensity,MassDisplacement,ER,,,
Cells,Intensity,MassDisplacement,Mito,,,
Cells,Intensity,MassDisplacement,RNA,,,
Cells,Intensity,MaxIntensityEdge,AGP,,,
Cells,Intensity,MaxIntensityEdge,DNA,,,
Cells,Intensity,MaxIntensityEdge,ER,,,
Cells,Intensity,MaxIntensityEdge,Mito,,,
Cells,Intensity,MaxIntensityEdge,RNA,,,
Cells,Intensity,MaxIntensity,AGP,,,
Cells,Intensity,MaxIntensity,DNA,,,
Cells,Intensity,MaxIntensity,ER,,,
Cells,Intensity,MaxIntensity,Mito,,,
Cells,Intensity,MaxIntensity,RNA,,,
Cells,Intensity,MeanIntensityEdge,AGP,,,
Cells,Intensity,MeanIntensityEdge,DNA,,,
Cells,Intensity,MeanIntensityEdge,ER,,,
Cells,Intensity,MeanIntensityEdge,Mito,,,
Cells,Intensity,MeanIntensityEdge,RNA,,,
Cells,Intensity,MeanIntensity,AGP,,,
Cells,Intensity,MeanIntensity,DNA,,,
